# p(bar) bp(C) v(m^3/kg) rho(steam, kg/m^3) Hw(kJ/kg, kcal/kg) Hs(kJ/kg, kcal/kg) Hv(kJ/kg, kcal/kg) Cp(kJ/kg K)

1.8	116.93	0.977	1.023	490.70	117.20	2701.54	645.25	2210.84	528.05	2.1037
1.9	118.62	0.929	1.076	497.85	118.91	2703.98	645.83	2206.13	526.92	2.1124
2	120.23	0.885	1.129	504.71	120.55	2706.29	646.39	2201.59	525.84	2.1208
2.2	123.27	0.810	1.235	517.63	123.63	2710.60	647.42	2192.98	523.78	2.1372
2.4	126.09	0.746	1.340	529.64	126.50	2714.55	648.36	2184.91	521.86	2.1531
2.6	128.73	0.693	1.444	540.88	129.19	2718.17	649.22	2177.30	520.04	2.1685
2.8	131.20	0.646	1.548	551.45	131.71	2721.54	650.03	2170.08	518.32	2.1835
3	133.54	0.606	1.651	561.44	134.10	2724.66	650.77	2163.22	516.68	2.1981
3.5	138.87	0.524	1.908	584.28	139.55	2731.63	652.44	2147.35	512.89	2.2331
4	143.63	0.462	2.163	604.68	144.43	2737.63	653.87	2132.95	509.45	2.2664
4.5	147.92	0.414	2.417	623.17	148.84	2742.88	655.13	2119.71	506.29	2.2983
5	151.85	0.375	2.669	640.12	152.89	2747.54	656.24	2107.42	503.35	2.3289
5.5	155.47	0.342	2.920	655.81	156.64	2751.70	657.23	2095.90	500.60	2.3585
6	158.84	0.315	3.170	670.43	160.13	2755.46	658.13	2085.03	498.00	2.3873
6.5	161.99	0.292	3.419	684.14	163.40	2758.87	658.94	2074.73	495.54	2.4152
7	164.96	0.273	3.667	697.07	166.49	2761.98	659.69	2064.92	493.20	2.4424
7.5	167.76	0.255	3.915	709.30	169.41	2764.84	660.37	2055.53	490.96	2.4690
8	170.42	0.240	4.162	720.94	172.19	2767.46	661.00	2046.53	488.80	2.4951
8.5	172.94	0.227	4.409	732.03	174.84	2769.89	661.58	2037.86	486.73	2.5206
9	175.36	0.215	4.655	742.64	177.38	2772.13	662.11	2029.49	484.74	2.5456
9.5	177.67	0.204	4.901	752.82	179.81	2774.22	662.61	2021.40	482.80	2.5702
10	179.88	0.194	5.147	762.60	182.14	2776.16	663.07	2013.56	480.93	2.5944
11	184.06	0.177	5.638	781.11	186.57	2779.66	663.91	1998.55	477.35	2.6418
12	187.96	0.163	6.127	798.42	190.70	2782.73	664.64	1984.31	473.94	2.6878
13	191.60	0.151	6.617	814.68	194.58	2785.42	665.29	1970.73	470.70	2.7327
14	195.04	0.141	7.106	830.05	198.26	2787.79	665.85	1957.73	467.60	2.7767
15	198.28	0.132	7.596	844.64	201.74	2789.88	666.35	1945.24	464.61	2.8197
16	201.37	0.124	8.085	858.54	205.06	2791.73	666.79	1933.19	461.74	2.8620
17	204.30	0.117	8.575	871.82	208.23	2793.37	667.18	1921.55	458.95	2.9036
18	207.11	0.110	9.065	884.55	211.27	2794.81	667.53	1910.27	456.26	2.9445
19	209.79	0.105	9.556	896.78	214.19	2796.09	667.83	1899.31	453.64	2.9849
20	212.37	0.100	10.047	908.56	217.01	2797.21	668.10	1888.65	451.10	3.0248
21	214.85	0.095	10.539	919.93	219.72	2798.18	668.33	1878.25	448.61	3.0643
22	217.24	0.091	11.032	930.92	222.35	2799.03	668.54	1868.11	446.19	3.1034
23	219.55	0.087	11.525	941.57	224.89	2799.77	668.71	1858.20	443.82	3.1421
24	221.78	0.083	12.020	951.90	227.36	2800.39	668.86	1848.49	441.50	3.1805
25	223.94	0.080	12.515	961.93	229.75	2800.91	668.99	1838.98	439.23	3.2187
26	226.03	0.077	13.012	971.69	232.08	2801.35	669.09	1829.66	437.01	3.2567
27	228.06	0.074	13.509	981.19	234.35	2801.69	669.17	1820.50	434.82	3.2944
28	230.04	0.071	14.008	990.46	236.57	2801.96	669.24	1811.50	432.67	3.3320
29	231.96	0.069	14.508	999.50	238.73	2802.15	669.28	1802.65	430.56	3.3695
30	233.84	0.067	15.009	1008.33	240.84	2802.27	669.31	1793.94	428.48	3.4069
